[2023-05-30 16:00:02,584] INFO [Controller id=0 epoch=4] Sending UpdateMetadata request to brokers HashSet(0) for 0 partitions (state.change.logger)
[2023-05-30 16:00:02,610] INFO [Controller id=0 epoch=4] Sending LeaderAndIsr request to broker 0 with 55 become-leader and 0 become-follower partitions (state.change.logger)
[2023-05-30 16:00:02,611] INFO [Controller id=0 epoch=4] Sending UpdateMetadata request to brokers HashSet(0) for 55 partitions (state.change.logger)
[2023-05-30 16:00:02,635] INFO [Broker id=0] Handling LeaderAndIsr request correlationId 1 from controller 0 for 55 partitions (state.change.logger)
[2023-05-30 16:00:02,647] INFO [Broker id=0] Stopped fetchers as part of LeaderAndIsr request correlationId 1 from controller 0 epoch 4 as part of the become-leader transition for 55 partitions (state.change.logger)
[2023-05-30 16:00:02,651] INFO [Broker id=0] Leader __consumer_offsets-3 with topic id Some(JJsrft7PTI2cTbVVQ89WuQ) starts at leader epoch 0 from offset 2 with partition epoch 0, high watermark 2, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-30 16:00:02,652] INFO [Broker id=0] Leader quickstart-events-0 with topic id Some(awNbkYstQ12F3gq3JyomzQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-30 16:00:02,656] INFO [Broker id=0] Leader __consumer_offsets-18 with topic id Some(JJsrft7PTI2cTbVVQ89WuQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-30 16:00:02,660] INFO [Broker id=0] Leader __consumer_offsets-41 with topic id Some(JJsrft7PTI2cTbVVQ89WuQ) starts at leader epoch 0 from offset 3 with partition epoch 0, high watermark 3, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-30 16:00:02,660] INFO [Broker id=0] Leader __consumer_offsets-10 with topic id Some(JJsrft7PTI2cTbVVQ89WuQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-30 16:00:02,663] INFO [Broker id=0] Leader kafka-topic-0 with topic id Some(iMu90zZ4QW6O1SjK8DB0RA) starts at leader epoch 0 from offset 1 with partition epoch 0, high watermark 1, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-30 16:00:02,663] INFO [Broker id=0] Leader __consumer_offsets-33 with topic id Some(JJsrft7PTI2cTbVVQ89WuQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-30 16:00:02,667] INFO [Broker id=0] Leader __consumer_offsets-48 with topic id Some(JJsrft7PTI2cTbVVQ89WuQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-30 16:00:02,671] INFO [Broker id=0] Leader __consumer_offsets-19 with topic id Some(JJsrft7PTI2cTbVVQ89WuQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-30 16:00:02,675] INFO [Broker id=0] Leader __consumer_offsets-34 with topic id Some(JJsrft7PTI2cTbVVQ89WuQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-30 16:00:02,677] INFO [Broker id=0] Leader __consumer_offsets-4 with topic id Some(JJsrft7PTI2cTbVVQ89WuQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
